################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.2786864788554039E-01   2.0148701465623242E-04   3.1524761950806630E-03
         1          2   0.0000000000000000E+00   1.5324159403424931E-01   2.6312649631626648E-05   1.2049201618322630E-03
         1          3   0.0000000000000000E+00   1.8779883931284078E-01   2.4100609615632932E-06   4.1087787492401478E-04
         1          4   0.0000000000000000E+00   1.8833496692166160E-01   1.1923536362419721E-04   3.0001964292893754E-03
         1          5   0.0000000000000000E+00   3.5955730712772588E-01   1.4892814158897155E-02   2.6012376022955513E-02
         1          6   0.0000000000000000E+00   3.5929588979511018E-01   1.8674770931646589E-03   1.2590160121393355E-02
         1          7   0.0000000000000000E+00   7.9425620447436296E-01   2.1254143820593810E-01   1.1525862384997716E-01
         1          8   0.0000000000000000E+00   8.7467201947800743E-01   1.7074128934272059E-01   1.1708692558764941E-01
         1          9   0.0000000000000000E+00   7.4811605665701719E-01   1.5519435107662793E-01   7.1275316047969300E-02
         1         10   0.0000000000000000E+00   6.7333285542477783E-01   1.0759055403395651E-01   6.3297413723034684E-02
         1         11   3.5910379683328059E-05   9.7073274581664104E-01   5.0623959362231108E-01   1.2736879346446944E-01
         1         12   1.4651415281849498E-07   1.2321718127446848E+00   5.6452836615588087E-01   1.8262446467122168E-01
         1         13   8.4577697438719571E-13   1.4747184327154994E+00   4.5721468960237244E-01   2.0131653962487583E-01
         1         14   2.1065196719838351E-21   1.3840249655512706E+00   3.1399515618091239E-01   1.9540171709333165E-01
         1         15   8.6972539370641714E-35   1.1709787371985103E+00   2.2399339888890113E-01   1.3937389170540587E-01
         1         16   6.8849742194674013E-55   9.8648969012214727E-01   1.9013342869196725E-01   8.6985029880464221E-02
         1         17   1.9097564541503356E-84   7.1287053045711446E-01   7.0423033342822558E-02   6.1097607892459958E-02
         1         18  3.9041233430555061E-127   5.7910474297282288E-01   7.7979762674756370E-03   3.0001123143202617E-02
         1         19   1.9549728427461759E-02   3.8930917832271078E-01   2.0171598260484119E-01   5.1727433306469041E-02
         1         20   2.2793198416896789E-02   1.4386575716282468E+00   7.6525110162075216E-01   1.4141446941085739E-01
         1         21   4.7646427383803432E-02   5.6115606300904231E-01   3.5202359290322310E-01   8.5427371422089546E-02
         1         22   5.7114363278535099E-02   2.5545080234003468E+00   1.3538612523590432E+00   2.5072471847758254E-01
         1         23   2.4940663697200689E-03   2.7522145071418831E+00   1.4697299433055526E+00   3.2622023343195683E-01
         1         24   7.8682802555547335E-06   2.5944753464285428E+00   1.3058387226565509E+00   3.6913521804174371E-01
         1         25   3.8919161034755070E-10   2.4797469425290117E+00   9.2442605075510287E-01   3.6754562234387905E-01
         1         26   9.2619930581806134E-02   8.1664587623323914E-01   5.0966407948897452E-01   9.9151195954948784E-02
         1         27   1.8318498196390448E-01   1.9153034470475108E+00   1.2247793247301280E+00   2.7230852284979107E-01
         1         28   2.7507711080804348E-01   3.0256562654161572E+00   1.7844962674328060E+00   4.5679177013995692E-01
         1         29   2.3897224519634894E-01   3.5897251008363615E+00   1.8969495318285576E+00   4.3720752276638192E-01
         1         30   0.0000000000000000E+00   5.8484982044182780E-03   3.1067262157701329E-05   9.1950833931776768E-05
         1         31   0.0000000000000000E+00   1.8477063440026437E-02   8.7325374281955700E-04   9.3136120974875950E-04
         1         32   0.0000000000000000E+00   3.7336807040497737E-02   2.4086044873246389E-03   2.3750767572766765E-03
         1         33   0.0000000000000000E+00   7.0642814078505202E-03   2.6343707911330927E-04   2.7035108042627745E-04
         1         34   1.5929753547141851E-13   8.0731305223699465E-02   1.1074371843129496E-02   7.3575933441624294E-03
         1         35   5.6325947537878221E-16   2.3003444431839482E-02   1.5884397842508863E-03   1.2498264882277600E-03
         1         36   5.3981986786993238E-13   9.3410838688374118E-02   1.5978972418477580E-02   9.9890378669505991E-03
         1         37   1.9700371500545024E-06   6.8969832554816746E-01   1.5443464421476363E-01   8.0162174550083384E-02
         1         38   6.1657159989202514E-16   2.4749528542932317E-02   1.6229878174756835E-03   1.2870123862469087E-03
         1         39   6.2262684617804945E-07   1.0573409296829014E-01   2.4663201317918649E-02   1.2324985639637898E-02
         1         40   3.0303734433414090E-05   8.0480865506783472E-01   1.9705844281684351E-01   9.4076893600784375E-02
         1         41   2.9602459953219584E-04   1.9365314536570741E+00   5.2281410288197383E-01   2.4440723530575639E-01
         1         42   2.3033250210999353E-04   1.0600999125841739E+00   2.9064562025332846E-01   1.3628090064970649E-01
         1         43   4.4156751616116266E-04   1.8181725546180594E+00   5.0504793045530760E-01   2.2653438009689736E-01
         1         44   3.7271975785887314E-03   4.3394225551846519E+00   1.3292398624644119E+00   5.8667197578105734E-01
         1         45   8.0581351847887373E-06   4.0158809640046172E-01   9.7520506174563842E-02   4.6421184682890214E-02
         1         46   2.8285538602087893E-03   2.4132319079528153E+00   7.5095290878482479E-01   3.3351584311932420E-01
         1         47   1.3040678584439959E-09   9.3788161160613240E-02   1.9338171364423416E-02   1.0081020289092305E-02
         1         48   1.1896132844293479E-03   8.2190114793389346E-01   2.5033325307694210E-01   1.1236226432368290E-01
