################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2645420507530283E-01 a       117     0     6     1    17
 -1.2077264061623965E+00 a       118     0     6     1    18
 -1.3456065356707367E-01 a       119     0     6     1    19
  5.0481186425505353E-01 a       120     0     6     1    20
  3.6040595064181485E-01 a       121     0     7     1     1
  2.5561690595812231E-01 a       122     0     7     1     2
 -6.5659192706411806E-01 a       123     0     7     1     3
  2.4350796615356624E-01 a       124     0     7     1     4
 -7.4425703774636565E-01 a       125     0     7     1     5
 -2.0923330799808001E-01 a       126     0     7     1     6
  4.9702590567842664E-01 a       127     0     7     1     7
  3.8965348654583634E-02 a       128     0     7     1     8
 -2.8036701833867839E-01 a       129     0     7     1     9
  1.9565920537655174E-01 a       130     0     7     1    10
 -2.3315193825389144E-01 a       131     0     7     1    11
 -3.6181555469134735E-02 a       132     0     7     1    12
  1.2868630175001600E-01 a       133     0     7     1    13
  1.8502778680503240E-01 a       134     0     7     1    14
 -1.4451807353320961E-01 a       135     0     7     1    15
  2.9266177986366859E-01 a       136     0     7     1    16
  2.7165354349763471E-01 a       137     0     7     1    17
 -1.6723128429298795E-01 a       138     0     7     1    18
  2.5808717218190935E-01 a       139     0     7     1    19
  1.3151454716122737E-01 a       140     0     7     1    20
  4.0097409938074130E-01 a       141     0     8     1     1
  2.1658805527858296E-01 a       142     0     8     1     2
 -8.6475865673385699E-01 a       143     0     8     1     3
  4.6921356420606702E-01 a       144     0     8     1     4
 -7.5615565459796752E-01 a       145     0     8     1     5
 -5.0223414956856516E-01 a       146     0     8     1     6
  4.3632365563815184E-01 a       147     0     8     1     7
  9.3290871098634348E-02 a       148     0     8     1     8
 -2.5441161070143359E-01 a       149     0     8     1     9
  1.9945904239852166E-02 a       150     0     8     1    10
 -2.8818173979819406E-01 a       151     0     8     1    11
 -1.8586585495365857E-01 a       152     0     8     1    12
 -1.5978793569828056E-01 a       153     0     8     1    13
 -3.2504343253300688E-01 a       154     0     8     1    14
  4.9031887473905210E-02 a       155     0     8     1    15
  4.1853138250844968E-01 a       156     0     8     1    16
  4.1226967840569374E-02 a       157     0     8     1    17
  2.9762205133483266E-02 a       158     0     8     1    18
  2.7705639424905482E-01 a       159     0     8     1    19
 -9.9554755999051350E-02 a       160     0     8     1    20
  3.1043631439655950E-01 a       161     0     9     1     1
  1.7982932855355949E-01 a       162     0     9     1     2
 -1.1146668921037990E+00 a       163     0     9     1     3
  4.0179710896132748E-01 a       164     0     9     1     4
 -7.5698245544212006E-01 a       165     0     9     1     5
 -4.8324860338877951E-01 a       166     0     9     1     6
  5.0796461989882058E-01 a       167     0     9     1     7
  2.0698701439696965E-01 a       168     0     9     1     8
 -2.1830739975555757E-01 a       169     0     9     1     9
 -1.9900576062773490E-01 a       170     0     9     1    10
 -5.1428514369821254E-01 a       171     0     9     1    11
 -2.7850594197606254E-01 a       172     0     9     1    12
 -2.1955317601339588E-01 a       173     0     9     1    13
 -5.7776899917397295E-01 a       174     0     9     1    14
  1.4461740043155924E-01 a       175     0     9     1    15
  4.8521454592252988E-01 a       176     0     9     1    16
  1.6940822161988677E-02 a       177     0     9     1    17
 -8.5229254564979109E-02 a       178     0     9     1    18
  7.2555133071219458E-01 a       179     0     9     1    19
 -1.8829941008697390E-01 a       180     0     9     1    20
  3.3129570254670943E-01 a       181     0    10     1     1
 -3.4075396262303947E-01 a       182     0    10     1     2
 -2.4230460899335196E-01 a       183     0    10     1     3
  7.0082946591416284E-01 a       184     0    10     1     4
 -5.4575554480791232E-02 a       185     0    10     1     5
 -4.2584102743291607E-01 a       186     0    10     1     6
  8.0874106510990765E-02 a       187     0    10     1     7
  5.0284665499248127E-01 a       188     0    10     1     8
 -4.3405017127810197E-01 a       189     0    10     1     9
 -3.6956418365228416E-01 a       190     0    10     1    10
 -2.4018271132505678E-01 a       191     0    10     1    11
  2.9039565015598606E-01 a       192     0    10     1    12
 -4.2374823214204321E-01 a       193     0    10     1    13
 -3.2828162777246800E-01 a       194     0    10     1    14
  6.5251063084679972E-01 a       195     0    10     1    15
 -1.0547078586006453E-01 a       196     0    10     1    16
  7.4064530144646437E-02 a       197     0    10     1    17
  3.7267398196397172E-01 a       198     0    10     1    18
  4.5533760100385379E-01 a       199     0    10     1    19
 -1.7481046646422287E-03 a       200     0    10     1    20
  7.3962094601996042E-02 a       201     0    11     1     1
 -4.1129289847019507E-01 a       202     0    11     1     2
  2.8780132827831439E-01 a       203     0    11     1     3
  2.0501438316573509E-01 a       204     0    11     1     4
  4.2499402705074413E-01 a       205     0    11     1     5
 -1.4186436030859612E-01 a       206     0    11     1     6
 -2.6720133532042506E-01 a       207     0    11     1     7
  3.9164903145161545E-01 a       208     0    11     1     8
 -8.3551214792627060E-02 a       209     0    11     1     9
 -4.7892948751372033E-01 a       210     0    11     1    10
 -1.7052122770575570E-01 a       211     0    11     1    11
  2.6260903592157514E-01 a       212     0    11     1    12
 -1.8429219324275323E-01 a       213     0    11     1    13
 -4.3826908235699354E-02 a       214     0    11     1    14
  6.6625592543267054E-01 a       215     0    11     1    15
 -4.0776105863418555E-01 a       216     0    11     1    16
 -1.7647360177128445E-02 a       217     0    11     1    17
  3.4796526563057895E-01 a       218     0    11     1    18
  2.2870464612087113E-01 a       219     0    11     1    19
 -1.0592865643504926E-01 a       220     0    11     1    20
 -8.4442808668592093E-02 a       221     0    12     1     1
 -2.6896103253777076E-01 a       222     0    12     1     2
