################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.5673757396362719E-02 a       117     0     6     1    17
  8.1459430572622130E-02 a       118     0     6     1    18
 -3.8007309871543260E-01 a       119     0     6     1    19
  2.2092908668927384E-02 a       120     0     6     1    20
 -2.1111211835432026E-01 a       121     0     7     1     1
 -1.5818303650454693E-01 a       122     0     7     1     2
  4.3379322972608703E-01 a       123     0     7     1     3
  2.3026108756349434E-01 a       124     0     7     1     4
  1.5428207037181510E-01 a       125     0     7     1     5
  2.5370016467243789E-01 a       126     0     7     1     6
  3.6597071750471555E-01 a       127     0     7     1     7
  3.8327417797671973E-02 a       128     0     7     1     8
  6.6118362255014509E-02 a       129     0     7     1     9
 -3.6590632298166825E-01 a       130     0     7     1    10
 -8.9165691002342354E-02 a       131     0     7     1    11
  2.5054989630065527E-01 a       132     0     7     1    12
 -3.5799588639601747E-02 a       133     0     7     1    13
 -3.1474978394698837E-02 a       134     0     7     1    14
  1.8985322946734529E-01 a       135     0     7     1    15
  1.2982510697461140E-02 a       136     0     7     1    16
 -5.5150119309209759E-02 a       137     0     7     1    17
 -2.6769717361680982E-02 a       138     0     7     1    18
 -1.9139091765671976E-01 a       139     0     7     1    19
 -1.7813737144153466E-01 a       140     0     7     1    20
 -5.3775285308563910E-02 a       141     0     8     1     1
 -6.7893858004846930E-02 a       142     0     8     1     2
  2.1981662175562902E-01 a       143     0     8     1     3
 -2.6752029685987746E-02 a       144     0     8     1     4
 -1.4903300253311622E-01 a       145     0     8     1     5
  2.1143114969096019E-01 a       146     0     8     1     6
