################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         40   0.0000000000000000E+00   6.3878615372245308E-04   5.2219150031752276E-06   8.3262632854160041E-06
         1         41   0.0000000000000000E+00   9.0109550357557195E-04   4.2992220844433281E-06   9.5598396399258509E-06
         1         42   0.0000000000000000E+00   7.1030030438731155E-05   4.4324275803407990E-08   3.8688250015798271E-07
         1         43   0.0000000000000000E+00   7.2466993554742148E-05   8.8454747888769982E-08   4.1898321303063191E-07
         1         44   0.0000000000000000E+00   7.3884100506775466E-04   1.2378274834430599E-06   4.2250105322650687E-06
         1         45   0.0000000000000000E+00   2.2848736584137155E-05   1.0591216559367753E-08   8.9564607782379146E-08
         1         46   0.0000000000000000E+00   4.3078072472043977E-06   6.6261486886085156E-10   1.3924851773761680E-08
         1         47   0.0000000000000000E+00   5.5019822636038758E-06   7.9721590728959935E-10   1.4578689750549745E-08
         1         48   0.0000000000000000E+00   4.9549634277124926E-07   3.4236342364240657E-11   1.3577287313324616E-09
         1         49   0.0000000000000000E+00   2.1907028305783108E-05   2.4090105024481063E-09   4.1826386683040246E-08
         1         50   0.0000000000000000E+00   9.4922433944136104E-06   6.9343706236154447E-10   2.3213405451816434E-08
         1         51   3.0196591137080808E-18   7.6501557133235943E-03   1.4053694289031769E-04   2.3068247335897171E-04
         1         52   8.6146839153867392E-20   2.9204613698187126E-03   2.4787754270293622E-05   5.4748379957230817E-05
         1         53   2.0171601670004260E-18   2.3147209406249478E-04   4.3313807339791900E-07   1.2012527330059282E-06
         1         54   2.4292619748571447E-20   1.8416297464526283E-04   1.2935097229291295E-07   8.3211348529264453E-07
         1         55   8.9387767457508200E-22   7.8676864348151108E-05   3.4283461662420020E-08   2.1972956610433107E-07
         1         56   5.8047145538895774E-35   4.7525227289995917E-07   1.7766236989729589E-11   9.7667514339825073E-10
         1         57   7.1918834783165308E-39   6.9537892814357404E-07   1.1310440311868529E-11   1.0835044598655892E-09
         1         58   1.6469205523391053E-40   1.8158834831606716E-07   1.3069024151335231E-12   2.1559950024975644E-10
         1         59   8.3478928513951922E-50   2.7210332634763483E-08   3.1723616039466053E-13   4.8361829016794879E-11
         1         60   3.0306881211218335E-50   1.9451382059457083E-08   1.4680675002412226E-13   2.5659953612250723E-11
         1         61   8.4498846987056394E-32   1.2270222057325745E-06   6.8728831628495082E-11   2.6459226589986910E-09
         1         62   6.3373350245125815E-29   5.9682814874706602E-06   2.1249993742102495E-10   9.0333460239648451E-09
         1         63   6.8382565537696602E-37   4.9786708996744183E-07   4.8850096868257160E-12   6.1819275677875738E-10
         1         64   2.7767636611712372E-45   9.3485426692877917E-08   1.3298537973997382E-12   1.7408004133911231E-10
